,Program.Initiative,Year,Title,Artist,Partner,Site.Location,Borough,Site.Type,Project.Type,Installation,Install.Month,Install.Day,Install.Year,Removal,Removal.Month,Removal.Day,Removal.Year,Latitude,Longitude,Length.Days
1,Arterventions,2013,Monkey Magic,Tang-Wei Hsu,ISCP,W 36th St. & 9th Ave.,Manhattan,Sidewalk,Sculpture,7/22/2013,7,22,2013,6/22/2014,6,22,2014,40.754713,-73.995374,335
2,Barrier Beautification,2020,Chromatic Rings,Otra Ciudad,DOT Bikes,Franklin Street between Quay Street and 14th Street,Brooklyn,Barrier,Mural,10/23/2020,10,23,2020,10/23/2021,10,23,2021,NA,NA,365
3,Arterventions,2020,Sonic Constellation,Camila Morales and Dominka Ksel,Rockaway Waterfront Alliance d/b/a RISE: Rockaway Initiative for Sustainability & Equity,Rockaway Freeway between Beach 60th Street and Beach 61st Street,Queens,Asphalt,Sculpture,10/17/2020,10,17,2020,9/17/2021,9,17,2021,NA,NA,335
4,Arterventions,2020,Rockaway Wellness Corridor: Walk this Way,Jeff Beler,Rockaway Waterfront Alliance d/b/a RISE: Rockaway Initiative for Sustainability & Equity,Rockaway Freeway between Beach 59th Street and Beach 62nd Street,Queens,Pedestrianized Asphalt Space,Asphalt Mural,10/4/2020,10,4,2020,9/4/2021,9,4,2021,NA,NA,335
5,Arterventions,2020,Migration,Madjeen Isaac,Haiti Cultural Exchange,Caton Avenue between Ocean Avenue and St. Paul’s Place,Brooklyn,Corrugated fence,Mural,9/8/2020,9,8,2020,8/8/2021,8,8,2021,NA,NA,334
6,Arterventions,2020,Concrete Connection,Richard Chance,Interboro Partners LLC and Department of Health and Mental Hygiene,Westchester Avenue and Sheridan Expressway,Bronx,Corrugated fence,Vinyl Panels,10/12/2020,10,12,2020,9/12/2021,9,12,2021,NA,NA,335
7,Arterventions,2020,Doggy Bags,Will Kurtz,Garment District Alliance,"Garment District Plazas, Broadway, 37th-38th, 38th-39th, 40th-41st Streets",Manhattan,Plaza,Sculpture,9/13/2020,9,13,2020,11/22/2020,11,22,2020,NA,NA,70
8,Art Display Case,2020,Global Climate sHeroes,Bolanle Adeboye,Human Impacts Institute,Water Street between Wall Street and Pearl Street and Gouverneur Lane between Water Street and Front Street,Manhattan,Sidewalk,Art Display Cases,3/1/2020,3,1,2020,2/1/2021,2,1,2021,NA,NA,337
9,Barrier Beautification,2019,Strong/Soft like a Cliffrose,Cat Willett,DOT School Safety,7th Avenue SB from 67th Street to 75th Street,Brooklyn,Barrier,Mural,10/23/2019,10,23,2019,9/23/2020,9,23,2020,NA,NA,336
10,Arterventions,2019,In/With Chelsea,"Lizania Cruz, Shannon Finnegan, Alicia Grullon, Betty Yu",Friends of the High Line,Street Light Poles,Manhattan,Street Light Pole,Signage,10/2/2019,10,2,2019,4/2/2020,4,2,2020,NA,NA,183
11,Arterventions,2019,Street Cathedral,Claudia Ravaschiere and Michael Moss,Hudson Square BID,Varick Street Between Clarkson Street and Canal Street,Manhattan,Street Light Pole,Sculpture,11/9/2019,11,9,2019,5/9/2020,5,9,2020,NA,NA,182
12,Arterventions,2019,Ziggy,Hou de Sousa,Flatiron/23rd Street Partnership,"Flatiron Plaza North, 23rd Street and Broadway",Manhattan,Plaza,Sculpture,11/15/2019,11,15,2019,1/2/2020,1,2,2020,NA,NA,48
13,Arterventions,2019,Light Year 2019,Various Artists,DUMBO BID,Manhattan Bridge Anchorage,Brooklyn,Bridge,Projection,1/1/2019,1,1,2019,12/1/2020,12,1,2020,NA,NA,700
14,Arterventions,2019,Humanimals,Marthalicia Matarrita,The Point,Hunts Point Avenue Metro North Overpass,Bronx,Bridge,Painted Panels,12/13/2019,12,13,2019,11/13/2020,11,13,2020,NA,NA,336
15,Arterventions,2019,On the Way to the Sea,Simone Couto & Ian Swanson,International Studio & Curatorial Programm,Newkirk Plaza,Brooklyn,Bridge,Mural,10/26/2019,10,26,2019,9/26/2020,9,26,2020,NA,NA,336
16,Special Projects,2019,Harlem Sunrise Extended,Gena Lozano,Uptown Grand Central,125th Street Plaza,Manhattan,Plaza,Construction Fence Banner Wrap,12/13/2019,12,13,2019,11/13/2020,11,13,2020,NA,NA,336
17,Asphalt Art Activations,2019,Loose Weave,Nick Kuszyk,DOT Public Spaces,Nassau Street between Fulton Street and John Street,Manhattan,Winter Seasonal Street,Asphalt Mural,11/29/2019,11,29,2019,1/1/2020,1,1,2020,NA,NA,33
18,Asphalt Art Activations,2019,Urban Playscape,Kim Carlino,DOT School Safety,Alexander Avenue between 135th and 137th Streets,Bronx,Pedestrianized Asphalt Space,Asphalt Mural,9/29/2019,9,29,2019,8/28/2020,8,28,2020,NA,NA,334
19,Asphalt Art Activations,2019,Cast Into the Deep,Annabelle Popa,Cast Into the Deep,Columbia Street and Dwight Street,Brooklyn,Pedestrianized Asphalt Space,Asphalt Mural,8/15/2019,8,15,2019,7/15/2020,7,15,2020,NA,NA,335
20,Asphalt Art Activations,2019,Connected Stories,Dan Monteavaro (Moncho1929),Chinatown Partnership,Doyers Street,Manhattan,Seasonal Street,Asphalt Mural,7/15/2019,7,15,2019,11/1/2019,11,1,2019,NA,NA,109
21,Art Display Case,2019,Public Artist in Residence,Tatyana Fazlalizadeh,NYC Commission on Human Rights,Lenox Avenue between 124th street and 125th  street,Manhattan,Sidewalk,Art Display Cases,7/15/2019,7,15,2019,12/31/2019,12,31,2019,NA,NA,169
22,Community Commissions,2019,Vivid Chroma Locomotion,Queen Andrea,Projectivity Group,Richmond Avenue and Drumgoole Road W,Staten Island,Bridge Wall,Mural,9/15/2019,9,15,2019,8/15/2020,8,15,2020,NA,NA,335
23,Community Commissions,2019,King/Queen Size Quality,Jason Wallace,Washington Heights BID,Dyckman Street and Riverside Drive,Manhattan,Sidewalk,Sculpture,9/24/2019,9,24,2019,8/24/2020,8,24,2020,NA,NA,335
24,Community Commissions,2019,"Drappled Light, Shifting Shadows",Katie Westmoreland,161st Street BID,Pedestrian Walkway at East 161st Street between Gerard Avenue and Concourse Village West,Bronx,Bridge Wall,Mural,9/27/2019,9,27,2019,8/27/2020,8,27,2020,NA,NA,335
25,Art Display Case,2019,"Visual Impact:On Art, AIDS, and Activism",Various Artists,NYC AIDS Memorial Park,NYC AIDS Memorial Park at St. Vincent’s Triangle,Manhattan,Sidewalk,Vinyl,5/31/2019,5,31,2019,12/31/2019,12,31,2019,40.737111,-74.001093,214
26,Arterventions,2019,Claremont Illuminated,Claremont Documentary Project Fellows,Bronx Documentary Center & Mayor's Office on Criminal Justice,169th Step Street at WebsterStreet and 168th Step Street at Webster Street,Bronx,Step Street,Projections,6/28/2019,6,28,2019,6/28/2019,6,28,2019,NA,NA,0
27,Arterventions,2019,Hippo Ballerina: First Steps,Bjorn Skaarup,Cavalier Galleries,"Flatiron Plaza, Broadway between 23rd Street and 25th Street",Manhatan,Plaza,Sculpture,8/27/2019,8,27,2019,11/30/2019,11,30,2019,NA,NA,95
28,Arterventions,2019,Highbridge Flowers,Laura Alvarez,WHEDco (Women's Housing and Economic Development Corporation),168th Street Step Street (Between EL Grant Highway and Shakespeare Avenue),Bronx,Step Street,Mural,8/27/2019,8,27,2019,7/27/2021,7,27,2021,NA,NA,700
29,Arterventions,2019,Nymph's Pond,Carla Torres,Garment District Alliance,Broadway between 37th and 38th streets,Manhatan,Seasonal Street,Asphalt Mural,7/1/2019,7,1,2019,8/31/2019,8,31,2019,NA,NA,61
30,Arterventions,2019,Heritage,Apolo Torres,DUMBO Improvement District,BQE-Pearl Street Tunnel between Prospect Street and York Street,Brooklyn,Bridge Wall,Mural,7/23/2019,7,23,2019,6/23/2020,6,23,2020,NA,NA,336
31,Arterventions,2019,FlipNYC,Beam Center Collective,DUMBO BID,Pearl Street Triangle,Brooklyn,Plaza,Sculpture,6/6/2019,6,6,2019,5/1/2020,5,1,2020,40.702992,-73.987702,330
32,Arterventions,2019,Active Art,Brittany Baldwin,Jamaica Center BID,Parsons Blvd. btwn Jamaica Ave. & Archer Ave.,Queens,Sidewalk,Vinyl Mural,5/7/2019,5,7,2019,4/7/2020,4,7,2020,40.702918,-73.800159,336
33,Arterventions,2019,Common Ground,Risa Puno,Hudson Square BID,Hudson St. & King St.,Manhattan,Sidewalk,Sculpture,5/1/2019,5,1,2019,4/1/2020,4,1,2020,40.728149,-74.007401,336
34,Arterventions,2019,Field’s Jax II,Fitzhugh Karol,DUMBO Improvement District,Jay St. & Prospect St.,Brooklyn,Sidewalk,Sculpture,4/24/2019,4,24,2019,3/24/2020,3,24,2020,40.700616,-73.987194,335
35,Arterventions,2019,Field’s Jax III,Fitzhugh Karol,DUMBO Improvement District,Front St. & York St.,Brooklyn,Sidewalk,Sculpture,4/24/2019,4,24,2019,3/24/2020,3,24,2020,40.70254,-73.991676,335
36,Arterventions,2019,All Power to All People,Hank Willis Thomas,The Africa Center,110th St. & 5th Ave.,Manhattan,Sidewalk,Sculpture,4/3/2019,4,3,2019,7/7/2019,7,7,2019,40.796481,-73.949048,95
37,Arterventions,2019,Life Without Tragedy,Kostis Velonis,Onassis Foundation/Village Alliance,Astor Place Plaza,Manhattan,Plaza,Asculpture,4/8/2019,4,8,2019,4/30/2019,4,30,2019,40.729885,-73.991135,22
38,Arterventions,2019,Lightspeed,Chris Jordan/Totem,LIC Partnersip,Sunnyside Yard,Queens,Bridge,Light Projection,1/1/2019,1,1,2019,12/1/2019,12,1,2019,40.74996,-73.928503,334
39,Arterventions,2019,Iceberg,"ATOMIC3 and Appareil Architecture, in collaboration with Jean-Sébastien Côté and Philippe Jean",Garment District Alliance,"Garment District Plaza, Broadway btwn 37th St. & 38th St.",Manhattan,Plaza,Interactive,2/26/2019,2,26,2019,3/26/2019,3,26,2019,40.752499,-73.987395,28
40,Community Commissions,2019,Moment of Gratitude,Emily Caisip,DUMBO BID,Front St. btwn Adams St. & Pearl St.,Brooklyn,Fence,Mural,3/27/2019,3,27,2019,2/27/2020,2,27,2020,40.702469,-73.987982,337
41,Community Commissions,2019,Focused at Infinity,Emily Lambert,National Lighthouse Museum,St. George Ferry Terminal,Staten Island,Concrete Wall,Vinyl Mural,2/13/2019,2,13,2019,1/13/2020,1,13,2020,40.644174,-74.07255,334
42,Community Commissions,2019,South Bronx Pride Totem,Roy Secord,BronxArtSpace,Roundabout at Dawson St. & Intervale Ave.,Bronx,Roundabout,Sculpture,1/1/2019,1,1,2019,12/1/2019,12,1,2019,40.8203,-73.896981,334
43,Community Commissions,2019,Magic Carpet,Soonae Tark,Sunnyside Shines Business Improvement District,46th St. & Queens Blvd.,Queens,Plaza,Ground Vinyl,5/13/2019,5,13,2019,4/13/2020,4,13,2020,40.743252,-73.918738,336
44,Art Display Case,2018,The Supper Club,Elia Alba,Lower Manhattan Cultural Council,"Water St. btwn Wall St. & Pine St., and Gouveneur Ln. btwn Water St. & Front St.",Manhattan,Sidewalk,Art Display Case,8/15/2018,8,15,2018,10/31/2018,10,31,2018,40.705409,-74.007026,77
45,Art Display Case,2018,Mobile Print Power Selected Works 2013-2018,Mobile Print Power,Queens Museum,Corona Plaza,Queens,Plaza,Art Display Case,4/15/2018,4,15,2018,10/15/2018,10,15,2018,40.749721,-73.862279,183
46,Art Display Case,2018,Amplify,Various artists,Worldstudio +Make Art with Purpose,Lenox Ave. btwn 124th St. & 125th St.,Manhattan,Sidewalk,Art Display Case,5/15/2018,5,15,2018,8/15/2018,8,15,2018,40.80748,-73.945737,92
47,Arterventions,2018,Tear,Richard Hudson,Vornado Realty Trust,"Plaza33, 33rd St. btwn 7th Ave. & 8th Ave.",Manhattan,Plaza,Sculpture,12/18/2017,12,18,2017,11/18/2018,11,18,2018,40.750464,-73.991664,335
48,Arterventions,2018,Loop,"Olivier Girouard, Jonathan Villeneuve and Ottoblix. Produced by Eukmen and Quartier des Spectacles Partnership, Montreal, Canada",Garment District Alliance,"Garment District Plaza, Broadway btwn 37th St. & 38th St.",Manhattan,Plaza,Interactive,2/13/2018,2,13,2018,3/31/2018,3,31,2018,40.752499,-73.987395,46
49,Arterventions,2018,The Last Three,Gillie and Marc Schattner,Village Alliance,Astor Place Plaza,Manhattan,Plaza,Sculpture,3/12/2018,3,12,2018,5/15/2018,5,15,2018,40.729885,-73.991135,64
50,Arterventions,2018,Diversity,art teachers and students of Xaverian High School,Xaverian High School,69th St. Overpass,Brooklyn,Bridge Wall,Mural,4/14/2018,4,14,2018,3/14/2019,3,14,2019,40.638978,-74.036487,334
51,Arterventions,2018,Rebirth,Kang Muxiang,Garment District Alliance,Broadway btwn 36th St. & 39th St.,Manhattan,Plaza,Sculpture,5/14/2018,5,14,2018,9/16/2018,9,16,2018,40.751699,-73.987594,125
52,Arterventions,2018,All Roads Lead to Fordham,Colin Nicodemo of Dylan James Design,Fordham Road BID,Grand Concourse & East Fordham Rd.,Bronx,Sidewalk,Sculpture,5/23/2018,5,23,2018,4/23/2019,4,23,2019,40.862453,-73.897125,335
53,Arterventions,2018,Araruana,Patricia Cazorla and Nancy Saleme,Garment District Alliance,Broadway btwn 39th St. & 41st St.,Manhattan,Seasonal Street,Asphalt Mural,5/31/2018,5,31,2018,9/16/2018,9,16,2018,40.753895,-73.98697,108
54,Arterventions,2018,¿Qué Dicen Los Jóvenes? What Do Young People Have to Say?,Lady K Fever and J G Caps,The Bronx Museum,165th St. & Carroll Pl.,Bronx,Step Street,Mural,6/14/2018,6,14,2018,5/14/2019,5,14,2019,40.830544,-73.919445,334
55,Arterventions,2018,Poetry Jukebox,Ondrej Kobza,The Village Alliance,Ruth Wittenberg Triangle,Manhattan,Triangle,Sculpture,6/20/2018,6,20,2018,5/20/2019,5,20,2019,40.733997,-73.999492,334
56,Arterventions,2018,The Song of Dragon and Flowers,Chen Dongfan,"Chinatown Partnership, Fou Gallery and ArtBridge",Doyers Street,Manhattan,Seasonal Street,Asphalt Mural,7/12/2018,7,12,2018,10/15/2018,10,15,2018,40.714382,-73.997951,95
57,Arterventions,2018,Link,Jorge Palacios,Noguchi Museum,Flatiron Plaza,Manhattan,Plaza,Sculpture,8/17/2018,8,17,2018,11/6/2018,11,6,2018,40.741632,-73.989289,81
58,Arterventions,2018,Flesh & Bronze,Thomas Gleisner,Public Service Artists Guild,Broadway btwn Cornelia St. & Myrtle Ave.,Brooklyn,Light Poles,Signage/Vinyl,9/11/2018,9,11,2018,8/11/2019,8,11,2019,40.687395,-73.918319,334
59,Arterventions,2018,Connection,Michael Ochea,Arts East NY and Department of Health and Mental Hygiene,Livonia Bridge,Brooklyn,Fence,Intervention,9/20/2018,9,20,2018,6/20/2019,6,20,2019,40.66409,-73.900507,273
60,Arterventions,2018,Candy Nations,Laurence Jenkell,Garment District Alliance,Broadway btwn 36th St. & 39th St.,Manhattan,Plaza,Sculpture,10/2/2018,10,2,2018,12/15/2018,12,15,2018,40.751699,-73.987594,74
61,Arterventions,2018,The Massive Stampede,Craig Anthony Miller,DUMBO BID,"BQE Underpass, Adams St. & York St.",Brooklyn,Bridge Wall,Mural,10/15/2018,10,15,2018,9/15/2019,9,15,2019,40.701369,-73.988635,335
62,Arterventions,2018,Tear of the Cloud,Tony Oursler,Public Art Fund,"Riverside Park South, Pier 1",Manhattan,Bridge Archway,Projection,10/22/2018,10,22,2018,10/31/2018,10,31,2018,40.779205,-73.989536,9
63,Arterventions,2018,Dumbo x Hungary Opera Project,Glowing Bulbs,DUMBO BID,Manhattan Bridge Archway,Brooklyn,Bridge Archway,Projection,10/28/2018,10,28,2018,10/30/2018,10,30,2018,40.703161,-73.987882,2
64,Arterventions,2018,Happy,"Benjamin Cadena, Studio Cadena",Flatiron/23rd Street Partnership,Flatiron Plaza,Manhattan,Plaza,Installation,11/14/2018,11,14,2018,1/2/2019,1,2,2019,40.741632,-73.989289,49
65,Arterventions,2018,Light Year,"Leo Kuelbs, John Ensor Parker, Farkas Fulop",DUMBO BID,Manhattan Bridge Archway,Brooklyn,Bridge Archway,Projection,1/1/2017,1,1,2017,12/1/2017,12,1,2017,40.703161,-73.987882,334
66,Asphalt Art Activations,2018,Oasis,Kim Carlino,DOT PPG,Montrose Ave. at Union Ave. & S 5th St.,Brooklyn,Sidewalk Extension,Asphalt Mural,10/1/2018,10,1,2018,9/1/2019,9,1,2019,40.706661,-73.95038,335
67,Asphalt Art Activations,2018,Up & Down River,Ellen Picken,DOT PPG,"Hooper St. & Division Ave., Hooper St. & Broadway",Brooklyn,Bike Share Station,Asphalt Mural,10/22/2018,10,22,2018,9/22/2019,9,22,2019,40.706924,-73.954128,335
68,Asphalt Art Activations,2018,The World is Our Oyster,Carla Torres,DOT PPG,Thieriot Ave. btwn Soundview Ave & Randall Ave.,Bronx,Pedestrianized Asphalt Space,Asphalt Mural,11/19/2018,11,19,2018,10/29/2019,10,29,2019,40.816738,-73.860945,344
69,Asphalt Art Activations,2018,Tidal Bay,"Combo Colab: Carolina Cisneros, Mateo Pinto",DOT PPG,Beach Channel Drive,Queens,Pedestrianized Asphalt Space,Asphalt Mural,11/19/2018,11,19,2018,10/29/2019,10,29,2019,40.597124,-73.766967,344
70,Barrier Beautification,2018,Shadowbox,Gavin Snyder,New York Cares and JP Morgan Chase & Co.,Delancey St. btwn Essex St. & Clinton St.,Manhattan,Barrier,Mural,10/30/2018,10,30,2018,9/30/2019,9,30,2019,40.718594,-73.98847,335
71,Barrier Beautification,2018,Razzle Dazzle,Ann Tarantino,New York Cares and JP Morgan Chase & Co.,Park Row & Frankfort St.,Manhattan,Barrier,Mural,5/22/2018,5,22,2018,4/22/2019,4,22,2019,40.711786,-74.004833,335
72,Barrier Beautification,2018,Drew Barriermore,Kat Lam,New York Cares and JP Morgan Chase & Co.,Williamsburg St. West btwn Kent Ave. & Flushing Ave.,Brooklyn,Barrier,Mural,6/7/2018,6,7,2018,5/7/2019,5,7,2019,40.699712,-73.962424,334
73,Art Display Case,2017,Amplify,Various artists,Worldstudio +Make Art with Purpose,"Water St. btwn Wall St. & Pine St., and Gouveneur Ln. btwn Water St. & Front St.",Manhattan,Sidewalk,Art Display Case,11/2/2017,11,2,2017,1/8/2018,1,8,2018,40.705409,-74.007026,67
74,Arterventions,2017,Between Spaces,Lina Puerta,LIC Partnership,Queens Plaza North btwn 21st St. & 22nd St.,Queens,Fence,Intervention,4/28/2017,4,28,2017,5/22/2017,5,22,2017,40.752545,-73.9437,24
75,Arterventions,2017,paper_airplane-(public),Chad Stayrook,Bronx River Art Center,E Tremont Ave. & Boston Rd.,Bronx,Plaza,Sculpture,7/20/2017,7,20,2017,6/20/2018,6,20,2018,40.840116,-73.880239,335
76,Arterventions,2017,Word on the Street,Various artists,Times Square Alliance,Broadway btwn 40th St. & 53rd St.,Manhattan,Light Poles,Banner,3/1/2018,3,1,2018,9/1/2018,9,1,2018,40.758077,-73.985625,184
77,Arterventions,2017,S is for Starlight Park,Manuel Acevedo,Bronx River Art Center,E 174th St. Bridge Underpass btwn W Farms Rd. & Sheridan Expwy,Bronx,Bridge Wall,Mural,6/15/2018,6,15,2018,5/15/2019,5,15,2019,40.835455,-73.882207,334
78,Arterventions,2017,Xola (Stay in Peace),Imani Shanklin Roberts,"Motivate, South African Tourism +  South African Airways",Franklin St. & West Broadway,Manhattan,Bike Share Station,Asphalt Mural,9/9/2017,9,9,2017,8/9/2018,8,9,2018,40.719138,-74.006667,334
79,Arterventions,2017,Cross-Street Stitches,Laura Alvarez,Art Bridge + DOHMH,W 176th St. btwn Undercliff Ave. & Popham Ave.,Bronx,Step Street,Mural,8/21/2017,8,21,2017,7/21/2018,7,21,2018,40.85,-73.921258,334
80,Arterventions,2017,The Blue-Winged Warbler,Diana Perea,Art Bridge + DOHMH,Third Ave. & Weiher Ct.,Bronx,Step Street,Mural,7/21/2017,7,21,2017,6/21/2018,6,21,2018,40.826272,-73.907779,335
81,Arterventions,2017,Rise Up,Josie Gonzalez,Art Bridge + DOHMH,Third Ave. & 164th St. & Boston Rd.,Bronx,Step Street,Mural,7/21/2017,7,21,2017,6/21/2018,6,21,2018,40.825343,-73.908126,335
82,Arterventions,2017,Cloud Drift,Katarina Jerinic,Gowanus Souvenir Shop,Gowanus Canal Bridges (9 sites),Brooklyn,Light Poles,Flag,6/21/2017,6,21,2017,9/21/2017,9,21,2017,40.679498,-73.988338,92
83,Arterventions,2017,Sew and Sew,Steed Taylor,Garment District Alliance,Broadway btwn 36th St. & 37th St. & 39th St. & 40th St.,Manhattan,Seasonal Street,Asphalt Mural,6/19/2017,6,19,2017,9/4/2017,9,4,2017,40.751699,-73.987594,77
84,Arterventions,2017,Wave Walk,Various artists,Project Zero,"125th St. & Park Ave., Albee Sq., Cooper Sq., Flatiron Plaza, Pearl St. Triangle",Manhattan,Plaza,Sculpture,5/18/2017,5,18,2017,6/22/2017,6,22,2017,40.805087,-73.93906,35
85,Arterventions,2017,Who Wrote the Book Of?,Mark Garcia,"The Ridgewood Bushwick Senior, Citizens Council, Inc.","Knickerbocker Plaza, Knickerbocker Ave., Greene Ave. & Myrtle Ave.",Brooklyn,Plaza,Mural,5/13/2017,5,13,2017,4/13/2018,4,13,2018,40.698877,-73.918599,335
86,Arterventions,2017,Jan Palach Memorial,John Hejduk,Cooper Union,E. 7th St. & Cooper Sq.,Manhattan,Sidewalk,Sculpture,3/24/2017,3,24,2017,6/11/2017,6,11,2017,40.729014,-73.990724,79
87,Barrier Beautification,2017,The Five Elements,Carla Torres,New York Cares,Queens Blvd. btwn Jackson Ave. & Skillman Ave.,Queens,Barrier,Mural,11/17/2017,11,17,2017,10/17/2018,10,17,2018,40.748511,-73.936781,334
88,Barrier Beautification,2017,Wheels and Bars,Glendalys Medina,New York Cares,W 155th & Harlem River Dr.,Manhattan,Barrier,Mural,10/25/2017,10,25,2017,9/25/2018,9,25,2018,40.83039,-73.940049,335
89,Community Commissions,2017,"The Night Life, Baby",VIZIE (Patrick Griffin),Hudson Yards / Hell's Kitchen Alliance,W 36th St. btwn 10th Ave. & 11th Ave.,Manhattan,Bridge Wall,Mural,6/3/2018,6,3,2018,5/3/2019,5,3,2019,40.756892,-74.00055,334
90,Community Commissions,2017,Norwood Column,Jenny Hung,Jerome Gun Hill BID,E Mosholu Pkwy South & Grand Concourse,Bronx,Triangle,Sculpture,6/27/2018,6,27,2018,5/27/2019,5,27,2019,40.878201,-73.884766,334
91,Community Commissions,2017,Exquisite Corpse,Fanny Allie,A.I.R. Gallery,"Putnam Plaza, Fulton St. & Grand Ave.",Brooklyn,Plaza,Sculpture,4/20/2017,4,20,2017,3/10/2018,3,10,2018,40.682567,-73.961928,324
92,Community Commissions,2017,Common Demoninator,Anthony Heinz May,Dyckman Farmhouse Museum,Dyckman St. & Riverside Dr.,Manhattan,Sidewalk,Sculpture,5/4/2017,5,4,2017,4/4/2018,4,4,2018,40.865626,-73.927459,335
93,Community Commissions,2017,We Are All Tourists,Cristian Pietrapiana,Local Project,Queens Plaza S. & Vernon Blvd.,Queens,Fence,Intervention,5/12/2017,5,12,2017,4/12/2018,4,12,2018,40.75434,-73.949355,335
94,Community Commissions,2017,Treasure the Green,Zigi Ben Haim,SoHo Broadway Initiative,Broadway btwn Howard St. & Grand St.,Manhattan,Bus Bulb,Sculpture,8/3/2017,8,3,2017,7/3/2018,7,3,2018,40.720444,-74.001095,334
95,Community Commissions,2017,I am Here,Harumi Ori,Staten Island Maker Space,Bay St. & Victory Blvd.,Staten Island,Fence,Intervention,10/27/2017,10,27,2017,9/27/2018,9,27,2018,40.637726,-74.075983,335
96,Special Projects,2017,Made in the Bronx,Various artists,Bronx Documentary Center,Fordham Road Plaza,Bronx,Plaza,Vinyl,2/14/2017,2,14,2017,1/14/2018,1,14,2018,40.860507,-73.888838,334
97,Special Projects,2017,Chorus,Jessie Contour,DDC,"Diversity Plaza, Broadway & 37th Rd.",Queens,Plaza,Vinyl,10/10/2017,10,10,2017,9/10/2018,9,10,2018,40.747172,-73.892034,335
98,Arterventions,2016,Ascension,Jordan Baker-Caldwell,Hudson Yards / Hell's Kitchen Alliance,W 36th St. & 9th Ave.,Manhattan,Sidewalk,Sculpture,8/9/2016,8,9,2016,7/9/2017,7,9,2017,40.754713,-73.995374,334
99,Arterventions,2016,Best of Brownsville,Brownsville Builders,Center for Court Innovation,Livonia Ave. & Rockaway Ave.,Brooklyn,Sidewalk,Sculpture,9/9/2016,9,9,2016,12/1/2016,12,1,2016,40.662541,-73.908846,83
100,Arterventions,2016,I Love the Bronx,Johnny Alamo (Clark Fly ID),Art Bridge + DOHMH,Henwood Pl. btwn Walton Ave. & Morris Ave.,Bronx,Step Street,Mural,11/5/2016,11,5,2016,10/5/2017,10,5,2017,40.847412,-73.909417,334
101,Arterventions,2016,Drift,Leonard Ursahci,DUMBO Improvement District,Manhattan Bridge Archway,Brooklyn,Bridge Archway,Sculpture,11/28/2016,11,28,2016,4/1/2017,4,1,2017,40.703161,-73.987882,124
102,Arterventions,2016,Flatiron Sky-Line,LOT,Flatiron/23rd Street Partnership,Flatiron Plaza,Manhattan,Plaza,Sculpture,11/16/2016,11,16,2016,1/3/2017,1,3,2017,40.741632,-73.989289,48
103,Arterventions,2016,Paparazzi Dogs,Gillie and Marc Schattner,Village Alliance,Ruth Wittenberg Triangle,Manhattan,Triangle,Sculpture,10/18/2016,10,18,2016,9/17/2017,9,17,2017,40.733997,-73.999492,334
104,Arterventions,2016,Fancy Animal Carnival,Hung Yi,Garment District Alliance,Broadway btwn 36th St. & 41st St.,Manhattan,Plaza,Sculpture,9/14/2016,9,14,2016,4/1/2017,4,1,2017,40.751699,-73.987594,199
105,Arterventions,2016,Mass Medium,Harry Gordon,Garment District Alliance,Broadway btwn 36th St. & 41st St.,Manhattan,Plaza,Sculpture,1/11/2016,1,11,2016,5/6/2016,5,6,2016,40.751699,-73.987594,116
