,Program.Initiative,Year,Title,Artist,Partner,Site.Location,Borough,Site.Type,Project.Type,Installation,Install.Month,Install.Day,Install.Year,Removal,Removal.Month,Removal.Day,Removal.Year,Latitude,Longitude,Length.Days
106,Arterventions,2016,Disorder: 9 Uneven Angles,Bernar Venet,Union Square Partnership and Paul Kasmin Gallery,E 17th St. & Broadway,Manhattan,Plaza,Sculpture,3/6/2016,3,6,2016,6/1/2016,6,1,2016,40.737109,-73.990351,87
107,Arterventions,2016,Doctors Without Borders,Williams Daniels,United Photo Industries,Manhattan Bridge Archway,Brooklyn,Bridge Archway,Vinyl,4/5/2016,4,5,2016,5/2/2016,5,2,2016,40.703161,-73.987882,27
108,Arterventions,2016,This City of Jazz,Tammy Nguyen,FLUX Art Fair and Marcus Garvey Park Alliance,Marcus Garvey Park,Manhattan,Light Poles,Signage,4/2/2016,4,2,2016,8/1/2016,8,1,2016,40.804515,-73.943795,121
109,Arterventions,2016,Liturgy for Lenox Lounge,Micheal Kelly Williams,FLUX Art Fair and Marcus Garvey Park Alliance,Lenox Ave. (Malcom X Blvd.) & 124th St.,Manhattan,Median,Sculpture,4/28/2016,4,28,2016,3/28/2017,3,28,2017,40.807049,-73.945823,334
110,Arterventions,2016,Paparazzi Dogs,Gillie and Marc Schattner,DUMBO BID,Pearl Street Triangle,Brooklyn,Triangle,Sculpture,4/28/2016,4,28,2016,10/21/2016,10,21,2016,40.702992,-73.987702,176
111,Arterventions,2016,"Fish Spine, Hummingbird, Palenque, Birdhouse",Jorge L. Rodriguez,Marcus Garvey Park Alliance,"123rd St., 119th St. & Lenox Ave., E 106th St. & 3rd Ave., E. 106th St. & Lexington Ave.",Manhattan,Median,Sculpture,6/9/2016,6,9,2016,5/9/2017,5,9,2017,40.792259,-73.946282,334
112,Arterventions,2016,Spread Love is the Brooklyn Way,Boa Mistura,"Open Source Gallery, Inc.",3rd Ave. btwn 17th St. & Prospect Ave.,Brooklyn,Bridge Wall,Mural,6/14/2016,6,14,2016,5/23/2017,5,23,2017,40.666518,-73.994907,343
113,Arterventions,2016,Forged Worlds,United Photo Industries,United Photo Industries,Manhattan Bridge Archway,Brooklyn,Fence,Vinyl,7/28/2016,7,28,2016,6/26/2017,6,26,2017,40.703161,-73.987882,333
114,Barrier Beautification,2016,Destination,Frank Parga,New York Cares,South St. btwn Pike Slip & Clinton St.,Manhattan,Barrier,Mural,10/26/2016,10,26,2016,9/26/2017,9,26,2017,40.710166,-73.989288,335
115,Barrier Beautification,2016,Bounce,Brittany Baldwin,New York Cares,Queens Blvd. btwn Woodhaven Blvd. & 59th Ave.,Queens,Barrier,Mural,11/17/2016,11,17,2016,10/17/2017,10,17,2017,40.733728,-73.870247,334
116,Barrier Beautification,2016,Crushing It,Nancy Ahn,NY Cares,Columbia St. btwn Atlantic Ave. & Congress St.,Brooklyn,Barrier,Mural,4/16/2016,4,16,2016,3/16/2017,3,16,2017,40.690528,-74.000096,334
117,Barrier Beautification,2016,Cats in Repose,Sarah Nicole Phillips,NY Cares,161st St. & Gerard Ave.,Bronx,Barrier,Mural,4/16/2016,4,16,2016,3/16/2017,3,16,2017,40.82746,-73.924998,334
118,Community Commissions,2016,Seasons of Kew Gardens,Carla Reyes,"Kew Gardens Improvement Association, Inc.",80th Rd. btwn Austin St. & Grenfell St.,Queens,Bridge Wall,Mural,5/1/2016,5,1,2016,11/17/2016,11,17,2016,40.711786,-73.833295,200
119,Community Commissions,2016,Dubbed in Flight,Kathleena Howie (Lady K Fever),The Bronx Museum of the Arts,165th St. & Carroll Pl.,Bronx,Step Street,Mural,8/21/2016,8,21,2016,7/28/2017,7,28,2017,40.830544,-73.919445,341
120,Special Projects,2016,We Call This Place Home,Chat Travieso and Sam Holleran,Hester Street Collaborative,South St. btwn Rutgers St. & Montgomery St.,Manhattan,Median,Sculpture,10/15/2016,10,15,2016,9/15/2017,9,15,2017,40.710203,-73.989342,335
121,Special Projects,2016,Our Treasures are Within,Joel Bergner and students from St. Gregory the Great School,DOT Art + St. Gregory the Great School,88th Rd. & Cross Island Pkwy,Queens,Bridge Wall,Mural,4/29/2016,4,29,2016,3/29/2017,3,29,2017,40.72909,-73.724019,334
122,Special Projects,2016,"Into the Wild, Brooklyn",Nelson Rivas (Cekis),"Atlantic Avenue BID, Brooklyn Bridge Park",Atlantic Ave. & Columbia St.,Brooklyn,Bridge Wall,Mural,6/1/2016,6,1,2016,5/1/2017,5,1,2017,40.69151,-73.999544,334
123,Special Projects,2016,Big City of Dreams,Andrea von Bujdoss (Queen Andrea),DOT Art + Bike Share,N 4th St. & Roebling,Brooklyn,Bike Share Station,Asphalt Mural,6/15/2016,6,15,2016,5/15/2017,5,15,2017,40.71467,-73.957223,334
124,Special Projects,2016,Hakoniwa,Nami Yamamoto,"Department of Design & Construction, Myrtle Avenue Brooklyn Partnership, International Studio & Curatorial Program",Myrtle Ave. btwn Grand Ave. & Emerson Pl.,Brooklyn,Fence,Intervention,9/16/2016,9,16,2016,8/16/2017,8,16,2017,40.693767,-73.963161,334
125,Arterventions,2015,The Flatbush Trees Project: This Land is Your Land,David Eppley,PLG Arts,Flatbush Ave. at  Empire Ave. & Ocean Ave.,Brooklyn,Sidewalk,Vinyl,5/11/2015,5,11,2015,4/11/2016,4,11,2016,40.66292,-73.96243,336
126,Arterventions,2015,Groundswell Community Mural Project,Groundswell Community Mural Project,Groundswell Community Mural Project,Fort Hamilton Pkwy btwn 61st St. & 62nd St.,Brooklyn,Bridge Wall,Mural,4/16/2015,4,16,2015,3/25/2016,3,25,2016,40.632593,-74.006327,344
127,Arterventions,2015,Fractured Spectrum,Publicolor,Publicolor,East 177th St. btwnn Bronx River Pkwy & Bronx River Ave.,Bronx,Bridge Wall,Mural,6/1/2015,6,1,2015,5/1/2016,5,1,2016,40.837216,-73.874627,335
128,Arterventions,2015,Everything,Hanna Liden,Art Production Fund,Ruth Wittenberg Triangle,Manhattan,Triangle,Sculpture,7/21/2015,7,21,2015,10/4/2015,10,4,2015,40.733997,-73.999492,75
129,Arterventions,2015,Temptation and Wandering Mountain,Wendell Castle,Museum of Arts & Design,2 Columbus Circle,Manhattan,Sidewalk,Sculpture,9/26/2015,9,26,2015,3/8/2016,3,8,2016,40.76761,-73.982038,164
130,Arterventions,2015,South Bronx Timeline,Andrew Antonaccio and Fillio Galvez (2Alas),"East Harlem Council for Community Improvement, Inc.",138th St. Bridge at Grand Concourse,Bronx,Bridge Wall,Mural,10/11/2015,10,11,2015,9/11/2016,9,11,2016,40.813192,-73.930301,336
131,Arterventions,2015,Nova,SOFTlab,Flatiron/23rd Street Partnership,Flatiron Plaza,Manhattan,Plaza,Sculpture,11/16/2015,11,16,2015,1/6/2016,1,6,2016,40.741632,-73.989289,51
132,Arterventions,2015,HeartSeat,Stereotank,Fordham Road BID,East Fordham Rd. & Webster Ave.,Bronx,Sidewalk,Sculpture,11/23/2015,11,23,2015,10/23/2016,10,23,2016,40.861844,-73.891326,335
133,Barrier Beautification,2015,Alphabet City,Elizabeth Hamby,NY Cares,Flushing Ave. btwn Williamsburg St. W & Washington Ave.,Brooklyn,Barrier,Mural,4/18/2015,4,18,2015,3/18/2016,3,18,2016,40.697714,-73.965037,335
134,Barrier Beautification,2015,Rhythmic Flow,Kati Vilim,NY Cares,Williamsburg St. West btwn Kent Ave. & Flushing Ave.,Brooklyn,Barrier,Mural,4/18/2015,4,18,2015,3/18/2016,3,18,2016,40.699712,-73.962424,335
135,Barrier Beautification,2015,Jazz City,Jessie Contour,NY Cares,Vernon Blvd. btwn 31st Ave. & 40th Ave.,Queens,Barrier,Mural,10/9/2015,10,9,2015,9/9/2016,9,9,2016,40.76894,-73.935866,336
136,Community Commissions,2015,Shipwreck,Montserrat Daubon,,155th St. & Overlook Terrace,Manhattan,Sidewalk,Sculpture,4/1/2015,4,1,2015,3/1/2016,3,1,2016,40.834277,-73.949099,335
137,Community Commissions,2015,Greenery,Ruth Hofheimer,Arts Gowanus,4th Ave. & Prospect Ave.,Brooklyn,Median,Sculpture,2/23/2015,2,23,2015,1/23/2016,1,23,2016,40.665584,-73.992746,334
138,Community Commissions,2015,Pedestrian Patterns,Mark Salinas,LIC Partnership + 7 Train Murals,Thomson Ave. btwn 44th Dr. & Skillman Ave.,Queens,Bridge Wall,Mural,8/15/2015,8,15,2015,6/24/2016,6,24,2016,40.745577,-73.939242,314
139,Community Commissions,2015,Harlem Sunrise,Gera Lozano,Creative Art Works + NHEMA,125th St. & Park Ave.,Manhattan,Comfort Station,Mural,8/26/2015,8,26,2015,7/26/2016,7,26,2016,40.804944,-73.93925,335
140,Community Commissions,2015,KHCC Grows,Laura Alvarez,Kingsbridge Heights Community Center (KHCC),231st St. & Kingsbridge Terrace,Bronx,Step Street,Mural,9/1/2015,9,1,2015,8/1/2016,8,1,2016,40.876065,-73.901355,335
141,Community Commissions,2015,NEST,Kirk Finkel,Freshkills Park Alliance,St. George Ferry Terminal,Staten Island,Ferry Terminal,Sculpture,9/17/2015,9,17,2015,8/17/2016,8,17,2016,40.644174,-74.07255,335
142,Community Commissions,2015,Intersections,Miguel Del Real,Arts Gowanus,4th Ave. & Prospect Ave.,Brooklyn,Bridge Wall,Mural,10/15/2015,10,15,2015,9/15/2016,9,15,2016,40.665318,-73.992927,336
143,Special Projects,2015,191st Street Tunnel Beautification Project,Various artists,Northern Manhattan Arts Alliance,"191st St. Subway Tunnel, W 191st St. & Broadway",Manhattan,Tunnel,Mural,5/18/2015,5,18,2015,4/18/2016,4,18,2016,40.856493,-73.93273,336
144,Art Display Case,2014,Art & Soul of the Southeast Queens Community,JCAL,Jamaica Center BID,Parsons Blvd. & Jamaica Ave.,Queens,Sidewalk,Art Display Case,4/22/2014,4,22,2014,10/22/2014,10,22,2014,40.70339,-73.800162,183
145,Art Display Case,2014,Residents of New York,MORE Art,MORE Art,LaGuardia Place btwn W 3rd St. & Bleeker St.,Manhattan,Sidewalk,Art Display Case,5/19/2014,5,19,2014,8/19/2014,8,19,2014,40.7281,-73.998973,92
146,Art Display Case,2014,Madeline,NYHS,NYHS,"Park Ave. & 21st St., 46th St., 55th St.",Manhattan,Sidewalk,Art Display Case,8/1/2014,8,1,2014,8/18/2014,8,18,2014,40.738963,-73.987204,17
147,Arterventions,2014,The Faberge Big Egg Hunt,Various artists,Elephant Family and Studio in a School,Various sites citywide,All boroughs,Plaza,Sculpture,3/31/2014,3,31,2014,4/18/2014,4,18,2014,40.644174,-74.07255,18
148,Arterventions,2014,The Sentinels,Chakaia Booker,Garment District Alliance,Broadway btwn 36th St. & 39th St.,Manhattan,Plaza,Sculpture,5/27/2014,5,27,2014,11/5/2014,11,5,2014,40.751699,-73.987594,162
149,Arterventions,2014,The H in Harlem,Bentley Meeker,Bentley Meeker Lighting,Harlem Viaduct at W 125th St. & 12th Ave.,Manhattan,Bridge Archway,Sculpture,6/23/2014,6,23,2014,9/30/2014,9,30,2014,40.818015,-73.960415,99
150,Arterventions,2014,Las Bicicletas,Gilberto Aceves Navarro,Fundacion Aceves Navarro,Various sites,Manhattan/Brooklyn,Sidewalk,Sculpture,7/13/2014,7,13,2014,9/30/2014,9,30,2014,40.715878,-73.996099,79
151,Arterventions,2014,Patriot,Steed Taylor,Visual AIDS,187th St. btwn Fort Washington Ave. & Overlook Terr.,Manhattan,Step Street,Mural,9/14/2014,9,14,2014,8/14/2015,8,14,2015,40.854952,-73.936079,334
152,Arterventions,2014,Sonic Forest,Chris Janney,AIA,LaGuardia Pl. btwn W 3rd St. & Bleeker St.,Manhattan,Sidewalk,Interactive,9/5/2014,9,5,2014,9/12/2014,9,12,2014,40.7281,-73.998973,7
153,Arterventions,2014,Personal Mythologies,United Photo Industries,United Photo Industries,Manhattan Bridge Archway,Brooklyn,Fence,Vinyl,8/26/2014,8,26,2014,7/26/2015,7,26,2015,40.703161,-73.987882,334
154,Arterventions,2014,Bridge of Flowers,Scott Sturgill,Arts Gowanus,Union Street Bridge,Brooklyn,Fence,Intervention,10/14/2014,10,14,2014,11/1/2014,11,1,2014,40.67951,-73.988386,18
155,Arterventions,2014,New York Light,INABA,Flatiron/23rd Street Partnership,Flatiron Plaza,Manhattan,Plaza,Sculpture,11/24/2014,11,24,2014,1/5/2015,1,5,2015,40.741632,-73.989289,42
156,Barrier Beautification,2014,Singing in the Rain,John Locke,NY Cares,E 36th St. & 9th Ave.,Manhattan,Barrier,Mural,4/12/2014,4,12,2014,3/11/2015,3,11,2015,40.754671,-73.995318,333
157,Barrier Beautification,2014,Spring Wind,Mayuko Fujino,NY Cares,180th St. & Devoe Ave.,Bronx,Barrier,Mural,4/12/2014,4,12,2014,3/11/2015,3,11,2015,40.842052,-73.875985,333
158,Barrier Beautification,2014,"Composition in Blue, Yellow and Red: Homage to Piet Mondrian",Eirini Linardaki,NY Cares,37th Ave. & 69th St.,Queens,Barrier,Mural,10/3/2014,10,3,2014,9/3/2015,9,3,2015,40.748572,-73.895471,335
159,Community Commissions,2014,Las Mariposas Amarillas,Lina Montoya,El Centro del Inmigrante,Jewett Ave. & Richmon Terrace,Staten Island,Fence,Intervention,7/2/2014,7,2,2014,6/4/2015,6,4,2015,40.637368,-74.12862,337
160,Community Commissions,2014,Sky Feather,Petros Chrisostomou,ISCP,Lenox Ave. (Malcom X Blvd.) and 124th St.,Manhattan,Median,Sculpture,5/14/2014,5,14,2014,4/14/2015,4,14,2015,40.807049,-73.945823,335
161,Community Commissions,2014,Birds,Mohamed Sharkawy,ISCP,Queens Plaza S. & Vernon Blvd.,Queens,Fence,Intervention,5/28/2014,5,28,2014,4/28/2015,4,28,2015,40.75434,-73.949355,335
162,Community Commissions,2014,"Eastbound, Westbound",John Chadwell,"Kew Gardens Improvement Association, inc.",82nd Ave. btwn Grenfel St. & Austin St.,Queens,Barrier,Mural,6/7/2014,6,7,2014,5/7/2015,5,7,2015,40.710697,-73.831994,334
163,Community Commissions,2014,Modern Tapestry,Kim Sillen,Lower East Side BID,Ludlow St. & Canal St. & Division St.,Manhattan,Pedestrianized Asphalt Space,Asphalt Mural,6/20/2014,6,20,2014,5/20/2015,5,20,2015,40.714589,-73.991047,334
164,Community Commissions,2014,Trust Your Vision,Gilf!,DUMBO BID,Front St. btwn Adams St. & Pearl St.,Brooklyn,Fence,Intervention,6/20/2014,6,20,2014,5/20/2015,5,20,2015,40.702469,-73.987982,334
165,Community Commissions,2014,Dandelions,Carin Mincemoyer,Columbus Amsterdam BID,97th St. btwn Columbus Ave. & Amsterdam Ave.,Manhattan,Sidewalk,Sculpture,8/22/2014,8,22,2014,7/22/2015,7,22,2015,40.79412,-73.968497,334
166,Community Commissions,2014,Aqua Hung,Xavier Figueroa,BRAC,E Tremont Ave. & Boston Rd.,Bronx,Plaza,Sculpture,10/3/2014,10,3,2014,9/3/2015,9,3,2015,40.840116,-73.880239,335
167,Community Commissions,2014,Ringing Waves,Asae Soya,ISCP,45th St. btwn 10th Ave. & 11th Ave.,Manhattan,Bridge Wall,Mural,11/24/2014,11,24,2014,10/24/2015,10,24,2015,40.761841,-73.994772,334
168,Special Projects,2014,From a Different Perspective,Herb Smith,DOT Bike Share,E 4th St. & 2nd Ave.,Manhattan,Bike Share Station,Mural,5/12/2014,5,12,2014,4/12/2015,4,12,2015,40.726253,-73.989605,335
169,Special Projects,2014,Guastavino Tile Pattern # 8,Pure and Applied,NY Cares,1st Ave. btwn 59th St. & 60th St.,Manhattan,Barrier,Mural,5/17/2014,5,17,2014,4/17/2015,4,17,2015,40.759662,-73.961957,335
170,Special Projects,2014,Swish Swash,Andrea Bergart,Queens Council of the Arts,Metropolitan Ave. & Fresh Pond Rd.,Queens,Fence,Intervention,9/26/2014,9,26,2014,8/26/2015,8,26,2015,40.712706,-73.900643,334
171,Art Display Case,2013,There is No US Without U,VA NYHHS Veterans,Downtown Brooklyn Partnership,Willoughby Plaza,Brooklyn,Plaza,Art Display Case,5/22/2013,5,22,2013,8/13/2013,8,13,2013,40.692304,-73.988661,83
172,Art Display Case,2013,Comfort Women Wanted,Chang-Jin Lee,Chelsea Improvement Company,9th Ave. btwn W 14th St. & W 16th St.,Manhattan,Plaza,Art Display Case,5/6/2013,5,6,2013,5/29/2013,5,29,2013,40.741484,-74.00515,23
173,Art Display Case,2013,Comfort Women Wanted,Chang-Jin Lee,Chelsea Improvement Company,Jay St. & Sands St,Brooklyn,Sidewalk,Art Display Case,6/19/2013,6,19,2013,7/19/2013,7,19,2013,40.700268,-73.986371,30
174,Art Display Case,2013,There is No US Without U,VA NYHHS Veterans,Downtown Brooklyn Partnership,Myrtle Ave. & 71st Ave.,Queens,Plaza,Art Display Case,11/13/2013,11,13,2013,4/1/2014,4,1,2014,40.702049,-73.880222,139
175,Art Display Case,2013,New York (Outer Borough Stories),United Photos Industries,United Photo Industries,"Water St. btwn Wall St. & Pine St., and Gouveneur Ln. btwn Water St. & Front St.",Manhattan,Sidewalk,Art Display Case,12/19/2013,12,19,2013,3/19/2014,3,19,2014,40.705409,-74.007026,90
176,Arterventions,2013,Bird,William Ryman,Flatiron BID,Flatiron Plaza,Manhattan,Plaza,Sculpture,3/23/2013,3,23,2013,3/23/2014,3,23,2014,40.741632,-73.989289,365
177,Arterventions,2013,Heartwalk,Situ Studio,DUMBO BID,Pearl Street Triangle,Brooklyn,Plaza,Sculpture,3/11/2013,3,11,2013,5/2/2013,5,2,2013,40.702992,-73.987702,52
178,Arterventions,2013,Five Elements,Xin Song,Fashion Center BID,Broadway btwn 36th St. & 41st St.,Manhattan,Plaza,Sculpture,6/1/2012,6,1,2012,8/1/2013,8,1,2013,40.751699,-73.987594,426
179,Arterventions,2013,WATER GATE,Casey Opstad,DUMBO BID,Manhattan Bridge Archway,Brooklyn,Bridge Archway,Mural,6/6/2013,6,6,2013,5/5/2014,5,5,2014,40.703161,-73.987882,333
180,Arterventions,2013,Archway,Eli Keszler,DUMBO BID & Make Music New York,Manhattan Bridge Archway,Brooklyn,Bridge Archway,Installation,6/21/2013,6,21,2013,6/21/2013,6,21,2013,40.703161,-73.987882,0
181,Arterventions,2013,Sherry Netherland,Alexandre Arrechea,Union Square Partnership & Magnan Metz Gallery,17th St. & Broadway,Manhattan,Plaza,Sculpture,6/13/2013,6,13,2013,8/23/2013,8,23,2013,40.737126,-73.990303,71
182,Arterventions,2013,Metropolitan Life Insurance,Alexandre Arrechea,Flatiron/23rd Street Partnership and Magnan Metz Gallery,Flatiron Plaza,Manhattan,Plaza,Sculpture,6/13/2013,6,13,2013,8/23/2013,8,23,2013,40.741632,-73.989289,71
183,Arterventions,2013,Flatiron,Alexandre Arrechea,Baruch College and Magnan Metz Gallery,25th St. btwn Lexington Ave. & 3rd Ave.,Manhattan,Plaza,Sculpture,6/13/2013,6,13,2013,8/23/2013,8,23,2013,40.741632,-73.989289,71
184,Arterventions,2013,Lemniscatus,Gina Miccinilli with Compleat Sculptor,Hudson Square Connection,Varick St. btwn Broome St. & Watts St.,Manhattan,Plaza,Sculpture,6/29/2013,6,29,2013,5/29/2014,5,29,2014,40.724099,-74.006134,334
185,Arterventions,2013,DUMBO Walls,Various artists,DUMBO BID & Two Trees Management,York St. btwn Washington St. & Pearl St.,Brooklyn,Bridge Wall,Mural,8/1/2013,8,1,2013,7/2/2014,7,2,2014,40.701369,-73.988635,335
186,Arterventions,2013,TALLY-HO,Allen Glatter,Two Trees Management Co.,Front St. & York St.,Brooklyn,Sidewalk,Sculpture,9/20/2013,9,20,2013,8/20/2014,8,20,2014,40.70254,-73.991676,334
187,Arterventions,2013,South Halftones,Elian and Pastel,El Museo del Barrio,138th St. Bridge at Grand Concourse,Bronx,Bridge Wall,Mural,8/19/2013,8,19,2013,10/1/2015,10,1,2015,40.813192,-73.930301,773
188,Arterventions,2013,Going Around by Passing Through,Richard Dupont,Museum of Arts & Design,2 Columbus Circle,Manhattan,Sidewalk,Sculpture,10/8/2013,10,8,2013,4/8/2014,4,8,2014,40.76761,-73.982038,182
189,Arterventions,2013,Converge: Ghraib Bag,Michael Reese,Museum of Arts & Design,Broadway btwn 58th St. & 59th St.,Manhattan,Plaza,Sculpture,10/8/2013,10,8,2013,4/8/2014,4,8,2014,40.767471,-73.981677,182
190,Arterventions,2013,Unparallel Way,Emily Weiskopf,Old Stone House,4th Ave. btwn 3rd St. & 4th St.,Brooklyn,Median,Sculpture,10/22/2013,10,22,2013,9/22/2014,9,22,2014,40.673873,-73.985787,335
191,Arterventions,2013,What We Came For,Cara Lynch,Historic House Trust,165th St. & Carroll Pl.,Bronx,Step Street,Mural,10/26/2013,10,26,2013,9/26/2014,9,26,2014,40.830546,-73.919442,335
192,Barrier Beautification,2013,Damsgard,Oyvind Renberg and Miho Shimizu,"NY Cares, Mayor's Community Affairs Unit",FDR Service Rd. East btwn 25th St. & 27th St.,Manhattan,Barrier,Mural,4/20/2013,4,20,2013,3/19/2014,3,19,2014,40.737591,-73.973973,333
193,Barrier Beautification,2013,PACER,XS (Sarah Strauss & Karin Tehve),"NY Cares, Mayor's Community Affairs Unit",FDR Service Rd. East btwn 35th St. & 37th St.,Manhattan,Barrier,Mural,4/20/2013,4,20,2013,3/19/2014,3,19,2014,40.744491,-73.971052,333
194,Barrier Beautification,2013,Pre Hispanic Patterns,Melissa Godoy Nieto,"NY Cares, Mayor's Community Affairs Unit",161st St. & Gerard Ave.,Bronx,Barrier,Mural,10/19/2013,10,19,2013,9/19/2014,9,19,2014,40.82746,-73.924998,335
195,Barrier Beautification,2013,Sight Scene,Brittany Falussy,"NY Cares, Mayor's Community Affairs Unit",Bruckner Blvd. & Bryant Ave.,Bronx,Barrier,Mural,10/19/2013,10,19,2013,9/19/2014,9,19,2014,40.821997,-73.888336,335
196,Community Commissions,2013,Aquatic Random,Gabriela Galvan,ISCP,St. George Ferry Terminal,Staten Island,Ferry Terminal,Sculpture,6/27/2013,6,27,2013,5/16/2014,5,16,2014,40.644174,-74.07255,323
197,Community Commissions,2013,Melon Mysticism for Everyone,Jennifer Liu,ISCP,Forsyth St. btwn Canal St. & Division S.,Manhattan,Fence,Intervention,6/19/2013,6,19,2013,5/14/2014,5,14,2014,40.714874,-73.994478,329
198,Community Commissions,2013,Double Doily,Jennifer Cecere,Downtown Alliance,Water St. & Whitehall St.,Manhattan,Plaza,Sculpture,6/10/2013,6,10,2013,7/1/2014,7,1,2014,40.702414,-74.012782,386
199,Community Commissions,2013,Tetra-Elements,Manuel Acevedo,BRAC,E Tremont Ave. & Boston Rd.,Bronx,Sidewalk,Sculpture,8/16/2013,8,16,2013,7/18/2014,7,18,2014,40.840116,-73.880239,336
200,Community Commissions,2013,Flexible,Darren Goins,Variety Boys and Girls Club of Queens,46th St. & Queens Blvd.,Queens,Plaza,Sculpture,9/19/2013,9,19,2013,10/22/2014,10,22,2014,40.743252,-73.918738,398
201,Community Commissions,2013,Ruby Walks,Sharon de la Cruz,THE POINT Community Development Corporation,Hunts Point Ave. btwn Bruckner Blvd. & Garrison Ave.,Bronx,Bridge Wall,Intervention,10/25/2013,10,25,2013,9/12/2014,9,12,2014,40.819662,-73.890151,322
202,Community Commissions,2013,Silent Lights,Urban Matter Inc.,Mrytle Avenue  Improvement Distrcit,Navy St. & Park Ave.,Brooklyn,Sidewalk,Installation,11/15/2013,11,15,2013,10/15/2014,10,15,2014,40.696458,-73.980332,334
203,Special Projects,2013,There Goes the Neighborhood,Lisa Dahl,Staten Island Arts,St. George Ferry Terminal,Staten Island,Plaza Steps,Vinyl,7/1/2013,7,1,2013,6/1/2014,6,1,2014,40.644174,-74.07255,335
204,Special Projects,2013,Lovely to See You,Emily Caisip,DOT Bike Share and NY Cares,Franklin St. btwn W Broadway & Varick St.,Manhattan,Bike Share Station,Mural,8/26/2013,8,26,2013,7/26/2014,7,26,2014,40.718957,-74.006763,334
205,Arterventions,2012,For Closure,Gabriela Salazar,Bronx River Art Center and Build it Green NYC,E Tremont Ave. & Boston Rd.,Bronx,Sidewalk,Sculpture,3/31/2012,3,31,2012,3/1/2013,3,1,2013,40.840116,-73.880239,335
206,Arterventions,2012,Pod,Pedro Villalta and Montserret Daubon,MMPCIA,Lenox Ave. (Malcom X Blvd.) & 124th St.,Manhattan,Median,Sculpture,6/9/2012,6,9,2012,5/9/2013,5,9,2013,40.807049,-73.945823,334
207,Arterventions,2012,Reflecting Forward (Civic Action: A Vision for Long Island City),Mary Miss Studio,Socrates Sculpture Park and The Noguchi Museum,Long Island City (Sunswick Creek & Ravenswood),Queens,Street Light Pole,Sculpture,5/9/2012,5,9,2012,4/9/2013,4,9,2013,40.768595,-73.936998,335
208,Arterventions,2012,PST,David Ellis,Two Trees Management Co.,Pearl Street Triangle,Brooklyn,Triangle,Asphalt Mural,6/11/2012,6,11,2012,5/11/2013,5,11,2013,40.702992,-73.987702,334
209,Arterventions,2012,Homage to the Classic,dEmo and Missoni,RogerSmithArts (Roger Smith Hotel),"Gaslight Plaza, 14th St. & 9th Ave.",Manhattan,Plaza,Sculpture,6/30/2012,6,30,2012,9/10/2012,9,10,2012,40.740846,-74.005292,72
210,Arterventions,2012,Broadway Green,Patricia Leighton and Del Geist,Fashion Center BID,Broadway btwn 36th St. & 41st St.,Manhattan,Plaza,Sculpture,7/9/2012,7,9,2012,8/31/2012,8,31,2012,40.751699,-73.987594,53
211,Arterventions,2012,Brooklyn Shelf Life,Various artists,Brooklyn Academy of Music and Showpaper,Layfayette Ave. & Ashland Pl.,Brooklyn,Sidewalk,Sculpture,8/28/2012,8,28,2012,7/30/2013,7,30,2013,40.686718,-73.978138,336
212,Arterventions,2012,Explore Your Neighborhood by Bike,Pasqualina Azzarello,Local Spokes,Allen St. & FDR Dr.,Manhattan,Street Light Pole,Signage,9/14/2012,9,14,2012,8/9/2013,8,9,2013,40.717374,-73.991291,329
213,Arterventions,2012,Vortex,Saint Clair Cemin,Paul Kasmin Gallery and Departmenr of Parks and Rec.,Broadway btwn 57th St. & 58th St.,Manhattan,Plaza,Sculpture,9/6/2012,9,6,2012,11/25/2012,11,25,2012,40.766288,-73.981878,80
