,Program.Initiative,Year,Title,Artist,Partner,Site.Location,Borough,Site.Type,Project.Type,Installation,Install.Month,Install.Day,Install.Year,Removal,Removal.Month,Removal.Day,Removal.Year,Latitude,Longitude,Length.Days
214,Arterventions,2012,Superheroes,Sam Brazilay,Dumbo BID and United Photos Industries,Manhattan Bridge Archway,Brooklyn,Fence,Vinyl,8/8/2012,8,8,2012,9/20/2014,9,20,2014,40.703161,-73.987882,773
215,Barrier Beautification,2012,A Longing for Spring,Carla Torres,"NY Cares, Mayor's Community Affairs Unit",West St. S btwn N Moore St. & Laight St.,Manhattan,Barrier,Mural,4/21/2012,4,21,2012,3/21/2013,3,21,2013,40.721371,-74.012193,334
216,Barrier Beautification,2012,April Ground,Marcie Paper,"NY Cares, Mayor's Community Affairs Unit",Tillary St. btwn Adams St. & Cadman Plaza West,Brooklyn,Barrier,Mural,4/21/2012,4,21,2012,3/21/2013,3,21,2013,40.696269,-73.99005,334
217,Barrier Beautification,2012,Fictional Landscape,Abby Goldstein,"NY Cares, Mayor's Community Affairs Unit",Jay St. & Sands St,Brooklyn,Barrier,Mural,4/21/2012,4,21,2012,3/21/2013,3,21,2013,40.700268,-73.986371,334
218,Barrier Beautification,2012,A Silence Already Filled with Noises,Sam Holleran,"NY Cares, Mayor's Community Affairs Unit",Columbia St. btwn Atlantic Ave. & Congress St.,Brooklyn,Barrier,Mural,4/21/2012,4,21,2012,3/21/2013,3,21,2013,40.690528,-74.000096,334
219,Barrier Beautification,2012,The Heart's Best Feelings Gather Home,Cara Lynch,"NY Cares, Mayor's Community Affairs Unit",Flushing Ave. btwn Williamsburg St. W & Washington Ave.,Brooklyn,Barrier,Mural,10/13/2012,10,13,2012,9/13/2013,9,13,2013,40.697714,-73.965037,335
220,Barrier Beautification,2012,Perpetual Nature,Deanna Lee,"NY Cares, Mayor's Community Affairs Unit",Flushing Bay Promenade btwn Harper St. & Northern Blvd. Bridge,Queens,Barrier,Mural,10/13/2012,10,13,2012,9/13/2013,9,13,2013,40.763939,-73.841072,335
221,Community Commissions,2012,"When it Opens Like This, Up is Not Over",Rena Leinberger,International Studio and Curatorial Program,Queens Plaza S. & Vernon Blvd.,Queens,Fence,Intervention,1/25/2012,1,25,2012,12/25/2012,12,25,2012,40.75434,-73.949355,335
222,Community Commissions,2012,Humps and Bumps,BroLab,Jamaica Center for Arts and Learning,Archer Ave. btwn 153rd St. & 158th St.,Queens,Sidewalk,Sculpture,5/3/2012,5,3,2012,4/3/2013,4,3,2013,40.701938,-73.802105,335
223,Community Commissions,2012,Color and Collaboration: A Fibonacci Series,Ruth Lande Shuman,Publicolor,49th Ave. btwn 21st St. & Skillman Ave.,Queens,Bridge Wall,Mural,9/29/2012,9,29,2012,8/29/2013,8,29,2013,40.74215,-73.947364,334
224,Community Commissions,2012,The Bridge & The Devil,Steed Taylor,Visual AIDS,Naples Terrace btwn Goodwin Terrace & Broadway,Bronx,Step Street,Mural,9/5/2012,9,5,2012,8/5/2013,8,5,2013,40.879466,-73.904485,334
225,Special Projects,2012,Battle Pass,Sasha Chavchavadze,Proteus Gowanus,Bergen St. & Smith St.,Brooklyn,Sidewalk,Sculpture,4/3/2012,4,3,2012,3/3/2013,3,3,2013,40.686733,-73.990461,334
226,Special Projects,2012,Art Display Case (Prototype),Architecture Research Office,Architecture Research Office,Water St. & Whitehall St.,Manhattan,Sidewalk,Art Display Case,5/1/2012,5,1,2012,4/1/2013,4,1,2013,40.702414,-74.012782,335
227,Special Projects,2012,We Live Here,Crystal Bruno,DOT Safety Education and Groundswell Community Mural Project,4th Ave. & 25th St.,Brooklyn,Bridge Wall,Mural,4/1/2012,4,1,2012,3/1/2013,3,1,2013,40.660612,-73.9983,334
228,Special Projects,2012,Yield in the Name of Creativity,Yana Dimitrova,DOT Safety Education and Groundswell Community Mural Project,Granger St. & Horace Harding Expwy,Queens,Bridge Wall,Mural,4/1/2012,4,1,2012,3/1/2013,3,1,2013,40.737593,-73.852794,334
229,Arterventions,2011,Real City,Carl Skelton,NYU Polytechnic,Canal St. & Forsyth St.,Manhattan,Plaza,Projection,2/1/2011,2,1,2011,5/5/2011,5,5,2011,40.715291,-73.995088,93
230,Arterventions,2011,Figurations,Joan Benefiel,Fashion Center BID,Broadway btwn 34th St. & 42nd St.,Manhattan,Plaza,Sculpture,7/14/2011,7,14,2011,8/26/2011,8,26,2011,40.749974,-73.988019,43
231,Arterventions,2011,Flaming Cactus,Animus Arts Collective,Figment and Summer Streets,Astor Place Plaza,Manhattan,Street Light Pole,Intervention,7/30/2011,7,30,2011,6/30/2012,6,30,2012,40.729885,-73.991135,336
232,Arterventions,2011,Sing for Hope: Pop-Up Pianos,Sing for Hope,Sing for Hope,St. George Ferry Terminal,Staten Island,Plaza,Interactive,6/15/2011,6,15,2011,7/6/2011,7,6,2011,40.644174,-74.07255,21
233,Arterventions,2011,Hymn to Manhattan Bridge,Nick Franglan,Make Music NY,Manhattan Bridge Archway,Brooklyn,Bridge Archway,Performance,6/21/2011,6,21,2011,6/22/2011,6,22,2011,40.703161,-73.987882,1
234,Arterventions,2011,The Andy Monument,Rob Pruitt,Public Art Fund,Broadway & 17th St.,Manhattan,Plaza,Sculpture,3/30/2011,3,30,2011,10/2/2011,10,2,2011,40.737213,-73.990337,186
235,Arterventions,2011,The Hop Stop,Andrew Casner and Jesse Sachs,Boerum Hill Association,Bergen St. & Smith St.,Brooklyn,Sidewalk,Intervention,4/29/2011,4,29,2011,6/17/2011,6,17,2011,40.686733,-73.990461,49
236,Arterventions,2011,Intra-Structure + North African Revolution,Aerostatic + vade,DUMBO BID,Manhattan Bridge Archway,Brooklyn,Bridge Archway,Projection,5/5/2011,5,5,2011,5/12/2011,5,12,2011,40.703161,-73.987882,7
237,Arterventions,2011,Bridging Stone Figures,Patrick Singh,West Harlem Arts Fund,Manhattan Bridge Archway,Brooklyn,Bridge Archway,Projection,5/5/2011,5,5,2011,5/5/2011,5,5,2011,40.703161,-73.987882,0
238,Arterventions,2011,Flaming Cactus 2,Animus Arts Collective,Hudson Square Connection,Hudson Square / Various sites,Manhattan,Street Light Pole,Intervention,11/1/2011,11,1,2011,2/1/2012,2,1,2012,40.72736,-74.007289,92
239,Arterventions,2011,Seed Labyrinth,Sara Jones,LaGuardia Corner Gardens,505 LaGuardia Place,Manhattan,Sidewalk,Intervention,11/1/2011,11,1,2011,10/1/2012,10,1,2012,40.727235,-73.999046,335
240,Arterventions,2011,1000 Steps Along Broadway,Mary Miss Studio,Montefiore Park Association,137th St. & Broadway,Manhattan,Triangle,Sculpture,9/1/2011,9,1,2011,12/2/2011,12,2,2011,40.821397,-73.954117,92
241,Barrier Beautification,2011,Teeth and Grooves,Eugenie Tung,"NY Cares, Mayor's Community Affairs Unit",Flushing Ave. btwn Williamsburg St. W & Washington Ave.,Brooklyn,Barrier,Mural,4/16/2011,4,16,2011,3/16/2012,3,16,2012,40.697714,-73.965037,335
242,Barrier Beautification,2011,Bike Stacks,Taliah Lempert,"NY Cares, Mayor's Community Affairs Unit",Flushing Ave. btwn Williamsburg St. W & Washington Ave.,Brooklyn,Barrier,Mural,4/16/2011,4,16,2011,3/16/2012,3,16,2012,40.697714,-73.965037,335
243,Barrier Beautification,2011,Reflecting Pond,Corinne Ulmann,"NY Cares, Mayor's Community Affairs Unit",97th St. & Centerville St.,Queens,Barrier,Mural,4/16/2011,4,16,2011,3/16/2012,3,16,2012,40.671407,-73.838038,335
244,Barrier Beautification,2011,Roots/Routes,Julia Whitney Barnes,"NY Cares, Mayor's Community Affairs Unit",W 155th & Harlem River Dr.,Manhattan,Barrier,Mural,4/16/2011,4,16,2011,3/16/2012,3,16,2012,40.83039,-73.940049,335
245,Barrier Beautification,2011,Seasonal References,Amy Madden,"NY Cares, Mayor's Community Affairs Unit",Fort Hamilton Pkwy btwn E 5th St. & Park Circle,Brooklyn,Barrier,Mural,10/22/2011,10,22,2011,9/22/2012,9,22,2012,40.650319,-73.974305,336
246,Barrier Beautification,2011,Planes A-Way,Almond Zigmund,"NY Cares, Mayor's Community Affairs Unit",Williamsburg St. West btwn Kent Ave. & Flushing Ave.,Brooklyn,Barrier,Mural,10/22/2011,10,22,2011,9/22/2012,9,22,2012,40.699712,-73.962424,336
247,Community Commissions,2011,Transforming Your Transit to Tranquility,Chris Beck and Tanya Albrightsen-Frable,Groundswell Community Mural Project,Tillary St. btwn Adams St. & Cadman Plaza West,Brooklyn,Barrier,Mural,6/5/2011,6,5,2011,5/5/2012,5,5,2012,40.696269,-73.99005,335
248,Community Commissions,2011,St. George Doily,Jennifer Cecere,Garibaldi-Meucci Museum,St. George Ferry Terminal,Staten Island,Ferry Terminal,Installation,3/19/2011,3,19,2011,5/10/2011,5,10,2011,40.644174,-74.07255,52
249,Community Commissions,2011,Silver,Christian Marche,Fordham Road BID,Grand Concourse & East Fordham Rd.,Bronx,Sidewalk,Sculpture,7/11/2011,7,11,2011,6/11/2012,6,11,2012,40.862453,-73.897125,336
250,Community Commissions,2011,Container Series,Victoria Munro,Council on Arts and Humanities for SI,St. George Ferry Terminal,Staten Island,Ferry Terminal,Mural,8/24/2011,8,24,2011,7/24/2012,7,24,2012,40.644174,-74.07255,335
251,Community Commissions,2011,The Urban Field Glass,Rebecca Hackemann,New York Foundation for the Arts,"South St. & Peck Slip, Washington St. & Prospect St.",Manhattan/Brooklyn,Sidewalk,Interactive,9/15/2011,9,15,2011,8/15/2012,8,15,2012,40.707428,-74.001038,335
252,Community Commissions,2011,Intersection,"Mikell Fine Iles, Heidy Garay & Sam Vernon",DUMBO BID,Front St. btwn Adams St. & Pearl St.,Brooklyn,Fence,Intervention,6/20/2011,6,20,2011,6/20/2014,6,20,2014,40.702469,-73.987982,1096
253,Community Commissions,2011,ARTfarm (Mural),Oscar Lopez,Architecture for Humanity and Bronx Museum of the Arts,165th St. & Carroll Pl.,Bronx,Step Street,Mural,7/31/2011,7,31,2011,6/30/2012,6,30,2012,40.830544,-73.919445,335
254,Community Commissions,2011,Plan Ahead,Magda Sayeg,North Brooklyn Public Art Coalition and Open Space Alliance for North Brooklyn,Kent Ave. btwn S 5th St. & S 6th St.,Brooklyn,Fence,Intervention,8/31/2011,8,31,2011,7/21/2012,7,21,2012,40.712287,-73.967867,325
255,Community Commissions,2011,Color and Collaboration: A Fibonacci Series,Ruth Lande Shuman,Publicolor,21st St. btwn 47th Rd. & 49th Ave.,Queens,Bridge Wall,Mural,10/16/2011,10,16,2011,9/16/2012,9,16,2012,40.743145,-73.949009,336
256,Community Commissions,2011,Lincoln Road Serape,Katherine Daniels,LinRoFORMA,Lincoln Rd. btwn Flatbush Ave. & Ocean Ave.,Brooklyn,Fence,Intervention,11/1/2011,11,1,2011,10/1/2012,10,1,2012,40.660729,-73.961869,335
257,Special Projects,2011,The Worm,Dong-Ping Wong,The New Museum,235 Bowery,Manhattan,Sidewalk,Interactive,5/7/2011,5,7,2011,5/7/2011,5,7,2011,40.722357,-73.993129,0
258,Special Projects,2011,"React, Respect, Intersect",Yana Dimitrova and Adam Kidder,NYCDOT Safety Education & Groundswell Community Mural Project,Church Ave. & E 5th St.,Brooklyn,Bridge Wall,Mural,8/20/2011,8,20,2011,7/20/2012,7,20,2012,40.64419,-73.975704,335
259,Special Projects,2011,"Stop, Look, Listen",Conor McGrady and Amy Mahnick,NYCDOT Safety Education & Groundswell Community Mural Project,7th Ave. btwn 63rd St. & 65th St.,Brooklyn,Bridge Wall,Mural,8/20/2011,8,20,2011,7/20/2012,7,20,2012,40.635395,-74.013282,335
260,Special Projects,2011,Curbside Haiku,John Morse,NYCDOT Safety Education,Various sites citywide,All boroughs,Light Poles,Signs,11/15/2011,11,15,2011,10/15/2012,10,15,2012,40.690167,-73.989175,335
261,Arterventions,2010,Event Horizon,Anthony Gromley,Madison Square Park Conservancy,Flatiron Plaza,Mahattan,Plaza,Sculpture,3/22/2010,3,22,2010,8/15/2010,8,15,2010,40.741632,-73.989289,146
262,Arterventions,2010,Force of Forward,Various artists,Leo Kuelbs LLC,Manhattan Bridge Archway,Brooklyn,Bridge Archway,Projection,4/8/2010,4,8,2010,4/10/2010,4,10,2010,40.703161,-73.987882,2
263,Arterventions,2010,Safe Street,Ilona Garnet,Jamaica Center for Arts & Learning,Jamaica Ave.,Queens,Light Poles,Signage,4/10/2010,4,10,2010,10/10/2010,10,10,2010,40.702487,-73.803154,183
264,Arterventions,2010,Mobile Gardens,Tattfoo Tan,Council on the Arts and Humanities for Staten Island,Staten Island Ferry,Manhattan/Staten Island,Ferry Boat,Installation,6/5/2010,6,5,2010,7/2/2010,7,2,2010,40.672282,-74.045326,27
265,Arterventions,2010,"Play Me, I'm Yours",Sing for Hope,Sing for Hope,St. George Ferry Terminal,Staten Island,Plaza,Interactive,6/18/2010,6,18,2010,7/7/2010,7,7,2010,40.644174,-74.07255,19
266,Arterventions,2010,Monumental Sculptures on Broadway,Manolo Valdes,Broadway Mall Association and Dept. of Parks and Rec,"Broadway & 79th St., 137th St.",Manhattan,Plaza,Sculpture,6/20/2010,6,20,2010,1/23/2011,1,23,2011,40.821397,-73.954117,217
267,Arterventions,2010,Sidewalk Catwalk,LF USA,Fashion BID,Broadway btwn 34th St. & 42nd St.,Manhattan,Plaza,Sculpture,6/24/2010,6,24,2010,10/3/2010,10,3,2010,40.749974,-73.988019,101
268,Arterventions,2010,Sleeping Beauty,Kenjiro Kitade,West Harlem Arts Fund,Roosevelt Ave. & 39th Ave.,Queens,Triangle,Sculpture,9/19/2010,9,19,2010,8/19/2011,8,19,2011,40.749423,-73.867498,334
269,Arterventions,2010,Endless Bridge,Various artists,Dumbo Arts Festival,Manhattan Bridge Archway,Brooklyn,Bridge Archway,Projection,9/25/2010,9,25,2010,9/27/2019,9,27,2019,40.703161,-73.987882,3289
270,Arterventions,2010,Plastic Flowers,Simone Kaplan,Dumbo Arts Festival,Jay St. & Prospect St.,Brooklyn,Fence,Intervention,9/25/2010,9,25,2010,9/27/2019,9,27,2019,40.700616,-73.987194,3289
271,Arterventions,2010,Tree Museum,Katie Holten,Parks and Recreation,"Franz Siegel Park, Joyce Kilmer Park, Bergen Park, Moshoulu Parkway",Manhattan,Sidewalk,Intervention,6/9/2010,6,9,2010,10/9/2010,10,9,2010,40.823085,-73.925632,122
272,Barrier Beautification,2010,Anchovies Along FDR Dr.,Brenda Zlamany,NY Cares and Mayor’s Community Affairs Unit,FDR Service Rd. East btwn 25th St. & 27th St.,Manhattan,Barrier,Mural,4/24/2010,4,24,2010,3/24/2011,3,24,2011,40.737591,-73.973973,334
273,Barrier Beautification,2010,Food in Transit,Sage & Coombe Architects,"NY Cares, Mayor’s Community Affairs Unit and Montefiore Monshulu Community Center",Baychester Ave. & Bartow Ave.,Bronx,Barrier,Mural,4/24/2010,4,24,2010,3/24/2011,3,24,2011,40.868733,-73.831643,334
274,Barrier Beautification,2010,NY Camo,Niko Courtelis,Mayor’s Community Affairs Unit and Pratt Institute,Queens Blvd. btwn Jackson Ave. & Skillman Ave.,Queens,Barrier,Mural,4/24/2010,4,24,2010,3/24/2011,3,24,2011,40.748511,-73.936781,334
275,Barrier Beautification,2010,Moving Forward,Lucy Kalian,"Mayor’s Community Affairs Unit, Brooklyn Greenway and Initiative and Brooklyn Navy Yard",Williamsburg St. West btwn Kent Ave. & Flushing Ave.,Brooklyn,Barrier,Mural,4/24/2010,4,24,2010,3/24/2011,3,24,2011,40.699712,-73.962424,334
276,Barrier Beautification,2010,In the Bike Lane,Andrea Legge,"NY Cares, Mayor's Community Affairs Unit",Fort Hamilton Pkwy btwn E 5th St. & Park Circle,Brooklyn,Barrier,Mural,6/12/2010,6,12,2010,5/12/2011,5,12,2011,40.650319,-73.974305,334
277,Barrier Beautification,2010,Antimacassars,Jennifer Cecere,"NY Cares, Mayor's Community Affairs Unit",FDR North btwn 33rd St. & 35th St.,Manhattan,Barrier,Mural,11/20/2010,11,20,2010,10/20/2011,10,20,2011,40.74319,-73.971895,334
278,Barrier Beautification,2010,City Speed,Jenny Hung,"NY Cares, Mayor's Community Affairs Unit",Hutchinson River Pkwy & Edwards Ave.,Bronx,Barrier,Mural,11/20/2010,11,20,2010,10/20/2011,10,20,2011,40.839324,-73.838203,334
279,Barrier Beautification,2010,Face to Face,Debra Hampton,"NY Cares, Mayor's Community Affairs Unit",Furman Ave. btwn Montague St. & Joralemon St.,Brooklyn,Barrier,Mural,11/20/2010,11,20,2010,10/20/2011,10,20,2011,40.694814,-73.998847,334
280,Community Commissions,2010,Asphalt Tattoo,Paula Meijerink,Wanted Landscape LLC,Jay St. & Prospect St.,Brooklyn,Asphalt,Intervention,7/10/2010,7,10,2010,5/10/2011,5,10,2011,40.700616,-73.987194,304
281,Community Commissions,2010,Mall-terations,Various artists,Hester Street Collaborative,Allen St. btwn Houston St. & Rivington St.,Manhattan,Plaza,Mural/Sculpture,8/15/2010,8,15,2010,7/15/2011,7,15,2011,40.721659,-73.989127,334
282,Community Commissions,2010,Maize Field,Christina Kelly,Boerum Hill Association,Bergen St. & Smith St.,Brooklyn,Sidewalk,Interactive,5/24/2010,5,24,2010,4/24/2011,4,24,2011,40.686737,-73.990374,335
283,Community Commissions,2010,ARTfarm,Various artists,Architecture for Humanity and Bronx Museum of the Arts,165th St. & Carroll Pl.,Bronx,Step Street,Intervention,9/3/2010,9,3,2010,8/3/2011,8,3,2011,40.830544,-73.919445,334
284,Community Commissions,2010,CHANGE,FIT Students of Urban Sound Studio,34th Street Partnership,W 31st St. btwn 9th Ave. & Dyer Ave.,Manhattan,Barrier,Mural,9/17/2010,9,17,2010,8/17/2011,8,17,2011,40.75187,-73.99859,334
285,Community Commissions,2010,Foot Traffic,Crystal Gregory,LinRoFORMA,Lincoln Rd. btwn Flatbush Ave. & Ocean Ave.,Brooklyn,Fence,Intervention,10/28/2010,10,28,2010,9/28/2011,9,28,2011,40.660729,-73.961869,335
286,Special Projects,2010,Beyond the GardenWall/Garden City,Sage & Coombe Architects,Tully Construction and Port Authority of NY and NJ,Whitehall Ferry Terminal,Manhattan,Fence,Intervention,4/1/2010,4,1,2010,8/1/2010,8,1,2010,40.701095,-74.013012,122
287,Special Projects,2010,"Cool Water, Hot Island",Molly Dilworth,Times Square Alliance,Broadway btwn 42nd St. & 47th St.,Manhattan,Pedestrianized Asphalt Space,Asphalt Mural,6/10/2010,6,10,2010,5/10/2011,5,10,2011,40.755914,-73.986405,334
288,Special Projects,2010,Secret Gardens,Richard Pasquarelli,Downtown Alliance,Chambers St. btwn West St. & W Broadway,Manhattan,Fence,Intervention,9/30/2010,9,30,2010,7/22/2011,7,22,2011,40.716318,-74.010929,295
289,Special Projects,2010,Green Screen,Corinne Ulmann,Downtown Alliance,Thames St. btwn Trinity St. & Greenwich St.,Manhattan,Fence,Intervention,8/20/2010,8,20,2010,7/20/2011,7,20,2011,40.709205,-74.012588,334
290,Arterventions,2009,Spacebuster,Ramboular,Storefront for Art and Architecture,Manhattan Bridge Archway,Brooklyn,Bridge Archway,Sculpture,4/16/2009,4,16,2009,4/26/2009,4,26,2009,40.703161,-73.987882,10
291,Arterventions,2009,69 Meters,Magda Sayeg,Montague BID,Montague Street,Brooklyn,Parking Meters,Intervention,5/13/2009,5,13,2009,6/14/2009,6,14,2009,40.694806,-73.99436,32
292,Arterventions,2009,Hope,Robert Indiana,Times Square Alliance,1514 Broadway,Manhattan,Plaza,Sculpture,6/3/2009,6,3,2009,6/11/2009,6,11,2009,40.757472,-73.985774,8
293,Arterventions,2009,100 Degrees,Hector Canonge and Chin Chih Yang,Queens Council on the Arts,34rth St. btwn Queens Blvd. N & Queens Blvd. S,Queens,Sidewalk,Sculpture,6/6/2009,6,6,2009,6/27/2009,6,27,2009,40.744581,-73.930764,21
294,Arterventions,2009,Fanfare,Naomi Goldberg Haas,Lower Manhattan Cultural Council,Whitehall Ferry Terminal,Manhattan,Ferry Terminal,Performance,6/15/2009,6,15,2009,6/27/2009,6,27,2009,40.701095,-74.013012,12
295,Arterventions,2009,Paint and Pavement,Ellie Balk,Liveable Streets Education,51 Edwards St.,Brooklyn,Asphalt,Mural,6/16/2009,6,16,2009,5/16/2010,5,16,2010,40.695034,-73.978093,334
296,Arterventions,2009,Horsing Around the Arrows of Time,Eleanora Kupencow,DUMBO Improvement District,Pearl Street Triangle,Brooklyn,Triangle,Sculpture,7/1/2009,7,1,2009,6/1/2010,6,1,2010,40.702992,-73.987702,335
297,Arterventions,2009,Aberrant Sidewalk,Kathryne Hall,Flux Factory,Grand Army Plaza,Brooklyn,Plaza,Sculpture,7/11/2009,7,11,2009,7/25/2009,7,25,2009,40.674668,-73.970263,14
298,Arterventions,2009,Making History Matter,LaPlaca Cohen,NY Historical Society,Astor Place Plaza,Manhattan,Plaza,Sculpture,8/8/2009,8,8,2009,8/25/2009,8,25,2009,40.729885,-73.991135,17
299,Arterventions,2009,R-O-B/Structural Oscillations,Gramazio & Kohler,Hester Street Collaborative,Pike St. btwn Division St. & E Broadway,Manhattan,Plaza,Sculpture,10/1/2009,10,1,2009,10/2/2010,10,2,2010,40.714129,-73.992651,366
300,Arterventions,2009,Bright Nights,Various artists,Random Numbers LLC,Manhattan Bridge Archway,Brooklyn,Bridge Archway,Projection,10/7/2009,10,7,2009,10/7/2009,10,7,2009,40.703161,-73.987882,0
301,Arterventions,2009,HALT!,Pavel Zustiak,Lower Manhattan Cultural Council,Whitehall Ferry Terminal,Manhattan,Ferry Terminal,Performance,10/26/2009,10,26,2009,10/30/2009,10,30,2009,40.701095,-74.013012,4
302,Community Commissions,2009,Worker Bees,Clare Herron and Chris Beck,Groundswell Community Mural Project and Downtown Brooklyn Alliance,Tillary St. btwn Adams St. & Cadman Plaza West,Brooklyn,Barrier,Mural,5/16/2009,5,16,2009,4/16/2010,4,16,2010,40.696269,-73.99005,335
303,Community Commissions,2009,Urban Garden,Pasqualina Azzarello,Recycle-a-Bicycle,Queens Plaza S. & Vernon Blvd.,Queens,Fence,Sculpture,6/4/2009,6,4,2009,5/4/2010,5,4,2010,40.75434,-73.949355,334
304,Community Commissions,2009,Aurora,Diego Medina,Bronx River Arts Center,E Tremont Ave. & Boston Rd.,Bronx,Sidewalk,Sculpture,7/16/2009,7,16,2009,6/16/2010,6,16,2010,40.840116,-73.880239,335
305,Community Commissions,2009,Welcomed Guests,Atom Cianfarani,Lower East Side Ecology Center,Columbia St. & Halleck St.,Brooklyn,Sidewalk,Sculpture,8/6/2009,8,6,2009,7/6/2010,7,6,2010,40.671833,-74.008441,334
306,Community Commissions,2009,A Collection of Local Memories,Gabriel Specter Reese,International Studio and Curatorial Program,Ocean Ave. & Parkside Ave.,Brooklyn,Sidewalk,Sculpture,9/23/2009,9,23,2009,8/23/2010,8,23,2010,40.654946,-73.962011,334
307,Community Commissions,2009,Bridge that Binds,Joel Voisard,Transportation Alternatives Queens Committee,Pulaski Bridge btwn Jackson Ave. & McGuiness Blvd.,Queens,Barrier/Sidewalk,Mural/Interactive,11/19/2009,11,19,2009,10/19/2010,10,19,2010,40.739189,-73.952654,334
308,Community Commissions,2009,Flock to Living,John Kritzinger,Actions Arts League,Pearl St. & Frankfurt St.,Manhattan,Barrier,Mural,12/1/2009,12,1,2009,11/10/2010,11,10,2010,40.709501,-74.001664,344
309,Community Commissions,2009,Dream Outside the Box,Animus Arts Collective,Actions Arts League,W. 97th St. btwn Amsterdam Ave. & Columbus Ave.,Manhattan,Sidewalk,Sculpture,12/10/2009,12,10,2009,11/10/2010,11,10,2010,40.794153,-73.968491,335
310,Special Projects,2009,Staten Island Mural,Abby Goldstein and Michael Koehler,Staten Island Borough President's Office,St. George Ferry Terminal,Staten Island,Fence,Intervention,10/15/2009,10,15,2009,9/15/2010,9,15,2010,40.644174,-74.07255,335
311,Arterventions,2008,24 Foot Fly's Eye Dome,Buckminster Fuller,The Center for Architecture and Max Protech Gallery,LaGuardia Place btwn W 3rd St. & Bleeker St.,Manhattan,Sidewalk,Sculpture,6/20/2008,6,20,2008,7/21/2008,7,21,2008,40.7281,-73.998973,31
312,Arterventions,2008,Sleeping Monster,Nicola Verlato,MORE Art,W 14th St. & 9th Ave.,Manhattan,Plaza,Sculpture,10/2/2008,10,2,2008,11/3/2008,11,3,2008,40.74093,-74.005424,32
313,Arterventions,2008,Hallelujah Harlem Public Art Fest,Julio Valdez,West Harlem Arts Fund,125th St. & 12th Ave.,Manhattan,Viaduct,Intervention,11/9/2008,11,9,2008,11/10/2008,11,10,2008,40.81801,-73.960404,1
314,Barrier Beautification,2008,Wave Pattern Design,Grey Worldwide,City Year,W 155th & Harlem River Dr.,Manhattan,Barrier,Mural,6/3/2008,6,3,2008,5/3/2009,5,3,2009,40.83039,-73.940049,334
315,Community Commissions,2008,Nature Matching Systems,Tattfoo Tan,DUMBO BID,Front St. btwn Adams St. & Pearl St.,Brooklyn,Fence,Intervention,2/25/2008,2,25,2008,1/25/2009,1,25,2009,40.702469,-73.987982,335
316,Community Commissions,2008,New York is a Rollercoaster,Belle Benfield and Chris Beck,Community Affairs Unit,"191st St. Subway Tunnel, W 191st St. & Broadway",Manhattan,Subway Entrance,Mural,8/22/2008,8,22,2008,7/22/2009,7,22,2009,40.856493,-73.93273,334
317,Community Commissions,2008,31st Street Barrier Art,FIT Students of Urban Sound Studio,34th Street Partnership,W 31st St. btwn 9th Ave. & Dyer Ave.,Manhattan,Barrier,Mural,8/1/2008,8,1,2008,7/1/2010,7,1,2010,40.75187,-73.99859,699
318,Special Projects,2008,Compass Design Exploration Project,"FIT, NYU, Pratt, Fordham University",Center for Architecture,16 Locations,Manhattan/Queens/Brooklyn/Bronx,Sidewalk,Intervention,11/1/2008,11,1,2008,10/1/2009,10,1,2009,40.759619,-73.830135,334
